2016-09-22 13:50:26.853 [main] INFO  a00971562.gis.Gis - 2016-09-22T20:50:26.846Z
2016-09-22 13:50:26.979 [main] INFO  a00971562.gis.Gis - Reading from C:\Users\Rei\Desktop\A00971562GisA2\players.dat
2016-09-22 13:50:26.979 [main] INFO  a00971562.gis.Gis - Reading from C:\Users\Rei\Desktop\A00971562GisA2\personas.dat
2016-09-22 13:50:26.979 [main] INFO  a00971562.gis.Gis - Reading from C:\Users\Rei\Desktop\A00971562GisA2\games.dat
2016-09-22 13:50:26.979 [main] INFO  a00971562.gis.Gis - Reading from C:\Users\Rei\Desktop\A00971562GisA2\scores.dat
2016-09-22 13:50:27.055 [main] DEBUG a00971562.gis.data.Database - Loading database properties from db.properties
2016-09-22 13:50:27.454 [main] INFO  a00971562.gis.data.Database - Driver loaded
2016-09-22 13:50:31.706 [main] INFO  a00971562.gis.data.Database - Database connected
2016-09-22 13:50:33.149 [main] INFO  a00971562.gis.dao.PlayerDao - Database Players created
2016-09-22 13:50:33.151 [main] INFO  a00971562.gis.dao.Dao - Query: CREATE TABLE Players(id INTEGER, firstName VARCHAR(20), lastName VARCHAR(20), emailAddress VARCHAR(40), birthDate VARCHAR(40), gamesPlayed INTEGER, gamesWon INTEGER, PRIMARY KEY (id))
2016-09-22 13:50:33.423 [main] INFO  a00971562.gis.dao.PlayerDao - INSERT INTO Players VALUES(1, 'Fred', 'Fish', 'fredfish@gamer.net', '19770322', 7, 5)
2016-09-22 13:50:33.493 [main] INFO  a00971562.gis.dao.PlayerDao - INSERT INTO Players VALUES(2, 'Laurie', 'Nash', 'laurieeenash@gmail.com', '19820828', 7, 4)
2016-09-22 13:50:33.506 [main] INFO  a00971562.gis.dao.PlayerDao - INSERT INTO Players VALUES(3, 'Conrad', 'Washington', 'fredfish@gamer.net', '19720712', 1, 1)
2016-09-22 13:50:33.551 [main] INFO  a00971562.gis.dao.PlayerDao - INSERT INTO Players VALUES(4, 'Jeanette', 'Price', 'priceizrite@hotmail.com', '20011003', 6, 2)
2016-09-22 13:50:33.567 [main] INFO  a00971562.gis.dao.PlayerDao - INSERT INTO Players VALUES(5, 'Mark', 'Chan', 'mchan@oneminutemail.com', '19950401', 4, 2)
2016-09-22 13:50:33.641 [main] INFO  a00971562.gis.dao.PersonaDao - Database Personas created
2016-09-22 13:50:33.641 [main] INFO  a00971562.gis.dao.Dao - Query: CREATE TABLE Personas(id INTEGER, playerId INTEGER, gamerTag VARCHAR(40), platform VARCHAR(2), firstName VARCHAR(20), lastName VARCHAR(20), emailAddress VARCHAR(40), birthDate VARCHAR(40), PRIMARY KEY (id))
2016-09-22 13:50:33.699 [main] INFO  a00971562.gis.dao.PersonaDao - INSERT INTO Personas VALUES(1, 1, 'Ithroeann', 'IO', 'Fred', 'Fish', 'fredfish@gamer.net', '19770322')
